"vote","polintr","frlgrsp_log","maryr"
"ne",3,10.3734911817819,1980
"ne",3,10.4631033404715,1995
"ano",1,11.1562505210315,2009
"ne",3,10.5966347330961,1994
"ano",3,10.7144177687525,2002
"ne",3,10.5966347330961,2005
"ano",3,10.5966347330961,2000
"ano",2,10.3089526606443,1993
"ne",2,10.8197782844103,2008
"ano",3,10.3089526606443,2018
"ano",3,10.3089526606443,1995
"ano",1,10.8197782844103,1993
"ne",3,10.2399597891573,1992
"ano",3,10.3089526606443,1995
"ne",4,10.3734911817819,1986
"ano",3,10.2035921449865,2005
"ne",4,10.1266311038503,2002
"ano",3,10.2750511089686,1982
"ne",4,10.4631033404715,2000
"ano",2,10.3089526606443,2006
"ano",2,10.4631033404715,1980
"ano",2,9.85219425814858,2006
"ne",3,10.4631033404715,1987
"ano",3,10.4912742174382,2005
"ano",4,10.4631033404715,1986
"ano",2,9.99879773234045,1985
"ne",3,10.3734911817819,2006
"ne",4,10.3089526606443,2000
"ne",4,10.3089526606443,2014
"ano",4,10.3089526606443,1992
"ano",4,10.5453414387085,2002
"ano",2,9.90348755253613,1986
"ano",4,10.8197782844103,1998
"ano",3,10.4631033404715,1985
"ano",2,10.5966347330961,1997
"ne",3,10.3089526606443,2000
"ano",3,10.3089526606443,1993
"ano",4,10.4631033404715,1982
"ano",3,10.1266311038503,2000
"ne",3,10.3734911817819,2002
"ano",4,10.1658518170036,2006
"ne",3,10.4631033404715,1989
"ne",4,10.1266311038503,1979
"ne",4,9.90348755253613,1983
"ano",3,10.3089526606443,1997
"ano",3,10.4042628404486,2000
"ano",2,10.4631033404715,1992
"ne",3,10.5966347330961,2018
"ano",3,10.7144177687525,2000
"ne",4,10.3089526606443,1983
"ne",4,10.5966347330961,2005
"ano",2,10.6454248972655,1989
"ano",2,9.90348755253613,2003
"ano",3,10.4042628404486,1989
"ano",2,10.9150884642146,2000
"ano",3,10.5966347330961,1984
"ne",2,10.9150884642146,1998
"ne",4,10.8197782844103,1983
"ano",3,10.5966347330961,1985
"ano",3,9.47270463644367,1987
"ne",4,10.1658518170036,1992
"ano",2,9.99879773234045,2001
"ano",3,9.99879773234045,1991
"ano",3,10.5966347330961,2002
"ano",3,9.90348755253613,1983
"ne",3,10.5966347330961,1989
"ano",2,9.90348755253613,1996
"ano",3,10.8197782844103,1998
"ano",4,10.7144177687525,2001
"ne",4,10.0858091093301,2005
"ano",2,10.3089526606443,1990
"ano",4,10.3089526606443,2005
"ano",3,10.1266311038503,2010
"ano",3,10.5966347330961,2001
"ano",3,10.2399597891573,2007
"ano",3,10.3734911817819,2001
"ne",3,10.3089526606443,1988
"ne",4,10.4042628404486,1989
"ano",3,9.61580548008435,2013
"ano",3,10.5713169251118,1992
"ne",3,10.1266311038503,2006
"ano",2,10.5966347330961,1981
"ano",2,10.4631033404715,1995
"ano",4,9.7981270368783,1989
"ano",3,9.90348755253613,1990
"ne",4,10.3089526606443,1998
"ano",4,9.90348755253613,1996
"ne",4,9.99879773234045,1993
"ne",2,10.4631033404715,2018
"ano",2,10.5966347330961,2016
"ano",3,10.4631033404715,1986
"ano",3,10.3734911817819,1980
"ano",1,10.2399597891573,1999
"ne",4,10.1266311038503,1979
"ano",3,10.4912742174382,1991
"ne",3,10.3734911817819,1979
"ne",3,10.4631033404715,2004
"ne",3,9.90348755253613,1983
"ne",4,10.3089526606443,1989
"ano",3,10.4631033404715,1983
"ano",3,10.3089526606443,2005
"ano",3,9.99879773234045,2000
"ne",4,9.90348755253613,1984
"ne",4,9.99879773234045,1997
"ano",1,10.7144177687525,1986
"ano",3,10.3734911817819,1990
"ano",4,10.1266311038503,1980
"ne",3,10.5966347330961,1987
"ano",4,10.4631033404715,1982
"ano",3,10.8197782844103,2010
"ano",3,10.4631033404715,1985
"ne",3,10.8197782844103,2000
"ano",2,10.4631033404715,1991
"ano",3,10.4631033404715,1983
