"idno","int_use_day_mins"
2,150
37,60
76,NA
131,300
137,NA
234,60
246,270
301,120
395,NA
413,45
419,NA
459,NA
541,NA
614,60
651,480
703,120
762,150
782,NA
815,60
858,150
884,45
912,270
932,270
950,90
1005,120
1037,60
1046,NA
1074,60
1196,540
1263,NA
1308,60
1309,300
1369,150
1373,NA
1382,80
1406,NA
1478,360
1516,260
1539,NA
1597,20
1620,360
1636,14
1732,NA
1750,315
1753,60
1775,30
1855,210
1863,240
1901,180
1942,480
1956,123
1958,NA
1961,NA
2047,240
2076,480
2103,120
2127,180
2135,240
2138,60
2170,90
2188,NA
2237,NA
2248,NA
2266,240
2284,60
2423,NA
2433,60
2437,210
2442,NA
2470,240
2508,60
2538,120
2565,NA
2580,60
2588,NA
2606,240
2614,NA
2651,210
2696,NA
2706,NA
2724,NA
2736,240
2749,30
2765,480
2908,180
2911,120
2957,NA
2963,NA
2990,NA
3008,NA
3123,180
3124,150
3142,60
3147,180
3163,60
3173,NA
3182,NA
3195,540
3256,30
3262,120
3273,NA
3283,NA
3343,30
3381,NA
3409,180
3530,480
3573,240
3590,60
3648,60
3651,70
3654,210
3670,210
3676,NA
3678,NA
3688,NA
3690,NA
3710,NA
3727,120
3730,NA
3734,60
3775,180
3777,NA
3791,90
3838,NA
3851,120
3886,NA
3892,120
3965,120
3981,50
4038,150
4075,240
4081,NA
4157,NA
4176,NA
4180,480
4227,120
4283,NA
4320,NA
4347,NA
4366,90
4376,NA
4379,120
4419,150
4431,180
4441,NA
4450,60
4501,60
4519,45
4530,NA
4532,NA
4592,120
4628,NA
4639,NA
4666,240
4678,240
4761,480
4774,90
4783,NA
4827,NA
4918,NA
5009,180
5040,NA
5077,NA
5145,480
5152,90
5164,30
5213,NA
5218,NA
5229,10
5330,NA
5337,60
5344,NA
5432,NA
5527,150
5559,NA
5562,300
5574,240
5616,90
5625,240
5633,90
5652,90
5670,260
5767,300
5826,250
5854,NA
5882,NA
5905,150
5925,150
5942,150
6014,NA
6118,120
6198,30
6286,60
6361,300
6377,270
6380,300
6398,30
6408,90
6415,NA
6430,90
6444,60
6469,60
6471,360
6515,175
6522,NA
6560,240
6630,135
6646,NA
6671,180
6678,NA
6688,NA
6724,60
6765,120
6784,90
6787,105
6837,60
6847,60
6906,360
6923,NA
6932,60
7019,150
7052,NA
7082,NA
7105,360
7153,NA
7171,570
7189,NA
7192,NA
7245,45
7270,NA
7276,NA
7360,NA
7416,540
7430,120
7482,NA
7484,NA
7490,60
7493,NA
7507,NA
7539,80
7545,NA
7578,180
7620,NA
7651,NA
7736,360
7781,180
7804,180
7827,90
7843,30
7902,180
8014,90
8035,NA
8043,60
8105,120
8119,90
8159,NA
8172,120
8220,NA
8226,120
8240,NA
8247,240
8285,NA
8340,NA
8346,NA
8357,NA
8375,120
8383,120
8387,60
8388,240
8403,NA
8432,90
8433,170
8455,300
8459,510
8461,NA
8462,120
8477,NA
8528,60
8534,NA
8563,NA
8571,90
8587,NA
8614,NA
8671,NA
8705,NA
8713,NA
8719,195
8753,NA
8755,270
8804,180
8875,180
8887,300
8924,NA
8948,NA
9007,510
9100,165
9143,18
9149,NA
9169,60
9180,30
9242,180
9265,60
9362,60
9407,120
9453,60
9604,NA
9608,130
9657,150
9662,NA
9670,60
9679,180
9680,120
9696,135
9709,180
9765,120
9782,60
9829,240
9858,60
9888,60
9899,NA
9926,60
9944,NA
9962,270
10020,NA
10082,NA
10085,150
10111,60
10117,488
10151,60
10153,NA
10172,360
10268,480
10273,120
10284,240
10301,510
10365,120
10376,240
10377,60
10385,120
10407,300
10490,180
10495,NA
10565,60
10613,NA
10645,60
10666,90
10728,540
10800,30
10814,NA
10846,150
10852,NA
10915,120
10936,NA
10945,NA
10969,NA
10971,60
11080,60
11103,NA
11112,120
11121,300
11196,180
