"osp_perc","ang_perc","obor"
54,51,0
68,68,1
61,80,0
86,80,1
55,57,0
65,46,1
73,67,1
60,80,1
49,47,1
59,56,1
66,45,1
64,65,1
68,72,1
47,44,0
71,65,0
59,77,0
53,45,0
53,48,0
71,68,0
65,71,0
63,62,1
59,63,0
57,36,0
71,77,1
51,65,0
62,61,0
60,63,1
69,70,1
64,74,1
57,70,0
57,51,0
52,50,1
58,47,1
43,75,1
65,53,1
55,64,1
57,47,0
62,55,0
63,63,1
56,50,0
74,74,0
70,68,0
49,52,0
61,63,1
58,49,0
64,67,1
56,52,0
84,98,1
58,50,1
84,89,1
57,60,0
57,45,1
60,61,0
65,68,0
66,64,0
65,64,0
60,63,0
53,62,0
53,54,0
72,59,0
59,56,0
53,57,1
72,80,1
74,66,0
66,41,1
54,43,1
63,71,1
69,82,1
68,83,1
65,49,0
49,34,0
71,69,0
71,74,1
75,71,0
55,52,1
73,58,1
72,55,0
45,47,0
71,91,0
69,83,1
55,71,0
63,77,0
57,68,1
62,74,0
61,75,1
36,33,0
56,55,1
51,47,0
60,62,0
63,58,1
67,60,1
67,85,0
79,87,1
60,55,0
51,48,1
58,73,0
75,71,0
53,46,0
55,55,0
59,50,0
56,57,0
59,65,0
53,45,0
58,50,0
59,71,1
77,92,1
48,41,1
54,43,1
68,54,0
56,39,1
65,62,0
72,73,0
48,45,0
56,78,1
59,64,0
52,54,0
52,63,0
71,71,1
73,65,0
64,54,1
51,59,0
55,40,1
58,47,0
63,71,1
51,63,0
78,87,0
66,67,1
53,43,1
56,49,1
55,44,1
53,60,1
61,50,0
63,63,0
47,45,0
65,70,0
51,29,0
53,43,1
63,49,1
61,57,0
73,57,1
66,76,0
67,83,0
78,78,1
72,79,0
58,40,1
46,38,0
49,56,0
61,42,1
57,46,0
46,40,0
61,62,0
69,64,0
60,59,0
68,66,1
68,73,1
66,62,1
50,36,0
64,48,1
65,79,0
61,67,0
70,72,0
49,59,0
55,42,0
56,52,1
55,62,0
51,36,0
63,73,0
54,46,0
61,42,0
64,59,1
57,53,1
63,60,0
68,62,0
66,80,0
62,69,0
53,45,0
68,65,0
58,55,0
59,56,1
53,36,0
65,63,1
63,51,1
62,60,0
56,56,0
43,43,0
58,67,1
59,51,0
75,73,1
75,84,1
50,45,0
62,69,0
72,80,1
63,65,0
53,60,1
60,49,0
71,83,1
66,80,0
69,68,1
64,65,0
77,65,0
50,74,0
67,51,0
66,67,0
59,64,0
70,58,0
65,72,0
64,64,0
76,61,1
62,66,0
52,49,0
70,79,1
71,86,0
57,52,0
56,53,0
57,64,0
54,52,1
72,75,1
67,69,0
69,99,1
65,64,1
60,68,0
60,74,0
57,68,0
66,60,1
63,75,0
64,85,1
76,79,1
52,47,0
57,45,0
63,65,1
56,53,0
55,55,0
51,43,0
64,80,1
64,55,0
72,73,0
71,85,0
61,62,1
57,65,1
60,57,1
53,46,0
55,55,1
50,66,1
72,78,1
70,65,0
61,58,0
53,47,0
67,76,0
59,49,0
51,54,0
