"si","id"
2,1
2,2
1,3
3,4
2,5
5,6
4,7
5,8
5,9
3,10
4,11
2,12
3,13
2,14
6,15
8,16
4,17
5,18
4,19
4,20
9,21
2,22
5,23
5,24
6,25
7,26
2,27
9,28
4,29
7,30
5,31
3,32
3,33
4,34
2,35
6,36
4,37
4,38
3,39
4,40
10,41
6,42
4,43
2,44
1,45
6,46
6,47
5,48
4,49
8,50
2,51
2,52
12,53
2,54
2,55
6,56
3,57
2,58
2,59
10,60
3,61
6,62
4,63
9,64
6,65
2,66
2,67
4,68
5,69
2,70
2,71
7,72
4,73
6,74
3,75
1,76
7,77
3,78
3,79
5,80
4,81
5,82
4,83
4,84
4,85
2,86
3,87
4,88
4,89
3,90
3,91
6,92
9,93
7,94
11,95
2,96
4,97
2,98
3,99
4,100
4,101
3,102
2,103
3,104
6,105
5,106
3,107
6,108
5,109
3,110
4,111
3,112
4,113
1,114
3,115
4,116
7,117
4,118
4,119
4,120
2,121
7,122
3,123
2,124
4,125
4,126
7,127
3,128
3,129
2,130
3,131
13,132
3,133
5,134
3,135
2,136
4,137
1,138
4,139
3,140
5,141
6,142
4,143
2,144
2,145
2,146
4,147
3,148
4,149
6,150
2,151
3,152
2,153
2,154
3,155
7,156
5,157
5,158
4,159
6,160
7,161
7,162
5,163
3,164
3,165
4,166
5,167
4,168
3,169
3,170
1,171
4,172
1,173
5,174
3,175
5,176
5,177
4,178
2,179
5,180
2,181
3,182
3,183
7,184
5,185
4,186
6,187
2,188
3,189
3,190
2,191
7,192
3,193
8,194
2,195
2,196
4,197
3,198
2,199
4,200
3,201
5,202
3,203
5,204
3,205
3,206
4,207
4,208
4,209
4,210
3,211
6,212
6,213
6,214
4,215
4,216
4,217
2,218
5,219
5,220
4,221
4,222
4,223
2,224
5,225
2,226
