"vote","stfeco","stfdem","nwspol_log"
1,3,3,-0.693147180559945
2,7,8,2.30258509299405
1,9,5,3.40119738166216
1,8,4,-0.693147180559945
2,6,4,3.80666248977032
1,5,4,2.99573227355399
2,6,5,3.40119738166216
3,9,6,4.24849524204936
1,8,6,4.0943445622221
2,7,6,2.30258509299405
1,6,7,3.91202300542815
1,3,5,-0.693147180559945
1,6,7,NA
1,1,3,3.40119738166216
2,7,5,3.68887945411394
1,8,5,4.49980967033027
1,8,3,2.30258509299405
1,5,10,3.13549421592915
1,8,5,3.40119738166216
2,7,4,-0.693147180559945
2,8,7,2.70805020110221
1,4,6,2.30258509299405
1,1,3,5.85793315448346
1,9,9,2.99573227355399
1,7,7,5.48063892334199
1,7,5,3.80666248977032
2,8,5,3.68887945411394
1,4,4,3.55534806148941
2,3,6,3.80666248977032
2,0,4,-0.693147180559945
1,9,8,2.70805020110221
1,7,10,2.30258509299405
1,9,4,4.0943445622221
2,7,2,-0.693147180559945
2,7,7,2.99573227355399
1,8,8,5.48063892334199
1,8,8,3.40119738166216
1,5,4,2.70805020110221
2,8,7,2.70805020110221
1,4,7,-0.693147180559945
3,6,3,-0.693147180559945
1,0,5,3.40119738166216
1,6,8,3.40119738166216
1,9,8,3.68887945411394
1,6,2,3.40119738166216
1,8,8,-0.693147180559945
2,6,5,2.99573227355399
2,1,1,3.40119738166216
1,6,6,-0.693147180559945
1,7,0,-0.693147180559945
2,3,2,-0.693147180559945
2,9,6,4.49980967033027
2,9,2,3.40119738166216
2,8,8,4.11087386417331
1,3,6,2.99573227355399
1,5,5,-0.693147180559945
1,8,8,3.40119738166216
2,5,5,4.0943445622221
2,8,0,2.30258509299405
1,6,8,3.40119738166216
1,3,8,4.38202663467388
2,7,5,2.30258509299405
2,NA,7,5.01063529409626
2,NA,2,-0.693147180559945
1,7,7,-0.693147180559945
2,6,5,-0.693147180559945
1,6,6,-0.693147180559945
2,9,5,2.30258509299405
2,6,4,2.99573227355399
2,5,5,-0.693147180559945
1,6,2,3.40119738166216
1,8,8,3.80666248977032
2,5,4,4.78749174278205
1,6,4,-0.693147180559945
1,6,4,4.49980967033027
1,5,5,4.49980967033027
1,NA,7,2.70805020110221
2,6,5,3.40119738166216
1,2,5,-0.693147180559945
2,5,7,-0.693147180559945
2,3,1,4.0943445622221
2,2,1,3.40119738166216
1,6,5,4.0943445622221
1,3,6,2.99573227355399
1,6,4,-0.693147180559945
2,3,7,-0.693147180559945
2,7,7,2.30258509299405
1,8,8,3.40119738166216
1,4,3,-0.693147180559945
2,8,7,3.40119738166216
2,6,6,-0.693147180559945
2,7,5,2.30258509299405
1,10,7,3.40119738166216
2,8,8,5.72031177660741
1,7,8,3.40119738166216
1,7,5,4.78749174278205
2,1,1,-0.693147180559945
2,10,10,-0.693147180559945
1,9,5,3.40119738166216
1,7,6,6.04025471127741
2,9,9,3.40119738166216
1,10,7,4.0943445622221
1,7,10,3.80666248977032
1,8,8,4.0943445622221
2,8,1,-0.693147180559945
1,7,3,2.99573227355399
1,5,3,-0.693147180559945
1,6,4,-0.693147180559945
1,10,8,4.78749174278205
2,5,2,4.17438726989564
2,3,6,2.30258509299405
1,6,5,2.70805020110221
1,4,5,3.40119738166216
2,5,8,NA
2,7,7,-0.693147180559945
1,5,6,3.40119738166216
2,3,5,3.40119738166216
1,6,5,-0.693147180559945
1,6,4,-0.693147180559945
1,6,3,3.40119738166216
3,NA,NA,-0.693147180559945
2,8,2,5.72031177660741
2,7,6,5.01063529409626
1,8,6,2.70805020110221
1,6,8,-0.693147180559945
1,6,6,3.40119738166216
1,7,5,-0.693147180559945
2,4,3,3.40119738166216
2,8,NA,2.99573227355399
1,4,7,2.30258509299405
2,3,3,-0.693147180559945
1,6,NA,2.70805020110221
2,5,3,5.24702407216049
1,3,8,3.40119738166216
2,7,6,3.40119738166216
2,6,5,2.70805020110221
1,3,3,-0.693147180559945
2,5,5,-0.693147180559945
1,6,8,-0.693147180559945
1,5,4,2.30258509299405
1,8,7,4.0943445622221
2,8,8,2.70805020110221
1,9,9,5.01063529409626
1,7,8,-0.693147180559945
1,5,6,2.30258509299405
1,8,8,2.70805020110221
1,4,8,2.30258509299405
2,6,6,2.70805020110221
2,5,5,4.0943445622221
1,10,4,4.70048036579242
1,7,3,3.80666248977032
2,6,6,3.40119738166216
1,7,9,-0.693147180559945
3,5,5,1.6094379124341
1,8,7,3.40119738166216
1,5,6,2.70805020110221
1,7,8,3.68887945411394
1,5,2,2.99573227355399
2,5,5,3.40119738166216
1,7,3,2.99573227355399
3,7,8,-0.693147180559945
1,5,3,3.40119738166216
2,NA,3,-0.693147180559945
1,8,8,3.68887945411394
1,3,5,-0.693147180559945
1,8,5,2.30258509299405
1,5,6,3.40119738166216
2,3,5,3.80666248977032
1,6,3,2.30258509299405
2,4,2,NA
2,4,6,-0.693147180559945
1,8,1,3.80666248977032
1,4,3,4.0943445622221
2,8,6,-0.693147180559945
1,8,6,5.01063529409626
3,2,6,-0.693147180559945
1,8,6,-0.693147180559945
1,6,7,2.99573227355399
2,3,3,-0.693147180559945
1,8,8,3.91202300542815
2,7,10,2.83321334405622
2,10,10,3.40119738166216
2,5,6,3.40119738166216
3,NA,NA,-0.693147180559945
2,4,3,2.30258509299405
1,7,7,3.40119738166216
1,8,6,1.6094379124341
2,5,3,1.6094379124341
1,6,7,-0.693147180559945
1,8,3,2.70805020110221
2,10,10,-0.693147180559945
1,8,7,2.99573227355399
2,6,7,-0.693147180559945
2,6,1,3.68887945411394
1,6,6,-0.693147180559945
1,4,3,3.40119738166216
2,7,NA,3.40119738166216
2,6,7,3.40119738166216
1,7,3,3.40119738166216
1,9,1,3.40119738166216
2,6,5,3.40119738166216
1,8,7,2.30258509299405
1,6,6,3.40119738166216
