vek,pocet
0,112732
1,118289
2,118706
3,116372
4,108699
5,101014
6,96720
7,92950
8,91182
9,89683
10,88900
11,88303
12,88901
13,88172
14,88305
15,104342
16,103481
17,118786
18,122208
19,126998
20,133571
21,130955
22,135417
23,135749
24,138155
25,140058
26,141656
27,143786
28,145284
29,148149
30,152650
31,170766
32,177399
33,180521
34,184053
35,190141
36,190510
37,185379
38,166979
39,152979
40,149343
41,141382
42,137257
43,135219
44,136993
45,139613
46,146892
47,147340
48,130521
49,127187
50,123842
51,123061
52,126762
53,143338
54,145057
55,147656
56,149650
57,148388
58,150431
59,153018
60,149847
61,145707
62,144766
63,153374
64,150553
65,121409
66,118898
67,119467
68,104086
69,96809
70,91230
71,83586
72,74905
73,70432
74,66624
75,64502
76,63349
77,62215
78,61303
79,59227
80,56961
81,50806
82,45944
83,41576
84,36826
85,32603
86,28171
87,24808
88,20053
89,16094
90,11382
91,8038
92,3284
93,2346
94,1879
95,1571
96,1669
97,1105
98,728
99,436
100,514
